"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"1","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","1","default","32","2022-07-18-1","4d29223f64bf8bd1e111ff3d3b55cd13","2022-07-18-1.2022-07-18-2"
"2","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","1","no_coevolution","32","2022-07-18-2","4d29223f64bf8bd1e111ff3d3b55cd13","2022-07-18-1.2022-07-18-2"
"3","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","1","default","32","2022-07-18-3","67413b38da6b14b8ad9915966a840415","2022-07-18-3.2022-07-18-4"
"4","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","1","no_coevolution","32","2022-07-18-4","67413b38da6b14b8ad9915966a840415","2022-07-18-3.2022-07-18-4"
"5","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","4","default","32","2022-07-18-5","02e774dad451a3fbb6a0b8ce8e752a3d","2022-07-18-5.2022-07-18-6"
"6","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","4","no_coevolution","32","2022-07-18-6","02e774dad451a3fbb6a0b8ce8e752a3d","2022-07-18-5.2022-07-18-6"
"7","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","4","default","32","2022-07-18-7","f7a8cb582fb46c0529097deac42e5447","2022-07-18-7.2022-07-18-8"
"8","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","4","no_coevolution","32","2022-07-18-8","f7a8cb582fb46c0529097deac42e5447","2022-07-18-7.2022-07-18-8"
"9","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","default","32","2022-07-18-9","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"10","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","no_coevolution","32","2022-07-18-10","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"11","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","default","32","2022-07-18-11","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"12","01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","default","32","2022-07-18-12","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
